year,parent_entity,production_value,production_unit,product_emissions_MtCO2,flaring_emissions_MtCO2,venting_emissions_MtCO2,fugitive_methane_emissions_MtCO2e,fugitive_methane_emissions_MtCH4,total_emissions_MtCO2e
1962,Abu Dhabi National Oil Company,0.9125,Million bbl/yr,0.3389277,0.005404077,0.001298972,0.018254082,0.000651931,0.363884831
1963,Abu Dhabi National Oil Company,1.825,Million bbl/yr,0.677855399,0.010808155,0.002597944,0.036508164,0.001303863,0.727769662
1964,Abu Dhabi National Oil Company,7.3,Million bbl/yr,2.711421597,0.04323262,0.010391775,0.146032655,0.005215452,2.911078647
1965,Abu Dhabi National Oil Company,10.95,Million bbl/yr,4.067132395,0.064848929,0.015587663,0.219048983,0.007823178,4.366617971
1966,Abu Dhabi National Oil Company,13.505,Million bbl/yr,5.016129954,0.079980346,0.019224785,0.270160412,0.009648586,5.385495497
1967,Abu Dhabi National Oil Company,14.6,Million bbl/yr,5.422843194,0.086465239,0.020783551,0.292065311,0.010430904,5.822157294
1968,Abu Dhabi National Oil Company,18.25,Million bbl/yr,6.778553992,0.108081549,0.025979439,0.365081638,0.01303863,7.277696618
1969,Abu Dhabi National Oil Company,22.265,Million bbl/yr,8.26983587,0.13185949,0.031694915,0.445399599,0.015907129,8.878789874
1970,Abu Dhabi National Oil Company,25.7325,Million bbl/yr,9.557761129,0.152394984,0.036631008,0.51476511,0.018384468,10.26155223
1971,Abu Dhabi National Oil Company,34.31,Million bbl/yr,12.7436815,0.203193312,0.048841345,0.68635348,0.024512624,13.68206964
1972,Abu Dhabi National Oil Company,37.96,Million bbl/yr,14.0993923,0.224809622,0.054037232,0.759369808,0.02712035,15.13760897
1973,Abu Dhabi National Oil Company,117.7125,Million bbl/yr,43.72167325,0.69712599,0.167567379,2.354776568,0.084099163,46.94114319
1974,Abu Dhabi National Oil Company,302.1105,Million bbl/yr,112.2121828,1.78918196,0.430063626,6.043561444,0.21584148,120.4749898
1975,Abu Dhabi National Oil Company,300.6213,Million bbl/yr,111.6590528,1.780362506,0.427943704,6.013770782,0.214777528,119.8811298
1976,Abu Dhabi National Oil Company,347.3997,Million bbl/yr,129.0338424,2.057397132,0.494534201,6.949548038,0.248198144,138.5353217
1977,Abu Dhabi National Oil Company,361.7223,Million bbl/yr,134.3536515,2.142219532,0.514922864,7.236064108,0.258430861,144.246858
1978,Abu Dhabi National Oil Company,316.7397,Million bbl/yr,117.6458717,1.87582013,0.450888744,6.336210885,0.226293246,126.3087914
1979,Abu Dhabi National Oil Company,322.9155,Million bbl/yr,119.9397343,1.912394926,0.459680186,6.459754512,0.230705518,128.771564
1980,Abu Dhabi National Oil Company,294.1827,Million bbl/yr,109.2675789,1.742231336,0.418778158,5.88496998,0.210177499,117.3135584
1981,Abu Dhabi National Oil Company,248.127,Million bbl/yr,92.16122008,1.469476739,0.353216447,4.963649957,0.177273213,98.94756322
1982,Abu Dhabi National Oil Company,199.728,Million bbl/yr,74.18449489,1.182844471,0.284318976,3.995453452,0.142694766,79.64711179
1983,Abu Dhabi National Oil Company,185.712,Million bbl/yr,68.97856542,1.099837842,0.264366767,3.715070753,0.132681098,74.05784078
1984,Abu Dhabi National Oil Company,179.58,Million bbl/yr,66.70097128,1.063522441,0.255637676,3.592403323,0.128300119,71.61253472
1985,Abu Dhabi National Oil Company,173.886,Million bbl/yr,64.58606244,1.029800998,0.247532091,3.478497852,0.124232066,69.34189338
