customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,Churn
Cust_1,Male,0,Yes,No,2,Yes,No,,No,No internet service,1
Cust_2,Female,1,No,No,,Yes,No,Fiber optic,Yes,Yes,0
Cust_3,Male,0,,Yes,,,Yes,,No,,0
Cust_4,Male,1,No,No,13,Yes,No phone service,,No,,0
Cust_5,,1,Yes,Yes,55,No,No,,Yes,Yes,1
Cust_6,Female,0,No,No,32,Yes,Yes,DSL,Yes,Yes,1
Cust_7,Male,1,,,22,No,,No,Yes,No,0
Cust_8,,1,Yes,No,55,,No,Fiber optic,No internet service,No,0
Cust_9,Male,0,Yes,,17,No,No phone service,Fiber optic,No internet service,Yes,0
Cust_10,Female,0,Yes,Yes,70,No,Yes,No,Yes,Yes,1
Cust_11,Male,0,Yes,No,51,Yes,No,Fiber optic,No,Yes,1
Cust_12,Male,0,No,No,8,No,No phone service,DSL,No,,0
Cust_13,Male,1,Yes,Yes,,Yes,No,Fiber optic,Yes,No,0
Cust_14,Male,0,No,Yes,10,No,Yes,No,Yes,Yes,0
Cust_15,Female,0,Yes,Yes,19,Yes,Yes,DSL,No internet service,Yes,0
Cust_16,,0,,No,14,Yes,Yes,Fiber optic,Yes,No,0
Cust_17,Female,,No,Yes,67,Yes,No,No,No internet service,No internet service,1
Cust_18,Female,0,No,Yes,55,No,Yes,Fiber optic,Yes,Yes,0
Cust_19,Female,1,,Yes,61,No,,No,No,No,1
Cust_20,Male,0,Yes,Yes,56,Yes,No phone service,Fiber optic,Yes,No internet service,0
Cust_21,Female,1,Yes,Yes,63,No,No phone service,Fiber optic,No,No,1
Cust_22,Male,0,No,Yes,,,No phone service,DSL,Yes,No,1
Cust_23,Female,0,No,Yes,47,,No phone service,,No internet service,,0
Cust_24,Female,0,Yes,No,6,Yes,,Fiber optic,Yes,No,1
Cust_25,Female,0,No,Yes,34,Yes,Yes,No,No,Yes,1
Cust_26,Female,0,No,No,65,Yes,No,No,No,No internet service,0
Cust_27,Female,,Yes,No,64,Yes,No phone service,Fiber optic,No,Yes,1
Cust_28,Female,0,No,Yes,,,,Fiber optic,Yes,No,1
Cust_29,,0,Yes,No,31,No,No,DSL,No internet service,,0
Cust_30,Female,1,Yes,No,62,No,No,Fiber optic,No internet service,No,1
Cust_31,Male,0,Yes,Yes,54,No,No,Fiber optic,No internet service,Yes,1
Cust_32,Male,1,No,No,8,No,No,No,No,No internet service,1
Cust_33,Female,0,No,Yes,42,Yes,No phone service,DSL,No,No internet service,0
Cust_34,,1,No,Yes,41,Yes,,,No internet service,No,0
Cust_35,Female,0,No,Yes,59,Yes,No phone service,Fiber optic,No internet service,Yes,0
Cust_36,Male,0,,Yes,40,No,,,,No,1
Cust_37,Female,0,Yes,Yes,22,Yes,Yes,,Yes,Yes,0
Cust_38,,1,No,Yes,24,No,No phone service,Fiber optic,Yes,No internet service,0
Cust_39,Male,1,,Yes,38,No,,Fiber optic,No internet service,Yes,1
Cust_40,Male,1,No,No,,No,Yes,No,No internet service,Yes,0
